County,test,legendfront,legendback,legendtext,second-ref,ledgerstyle,cost,mi,per-income,inc-100,4year,saveperiod,save,saveinterest
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2024,47036,88424,1,53,188144,60,871.037037,538.78
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2025,49170,90192,1,55,196680,72,910.5555556,563.23
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2026,51400,91996,1,56,205600,84,951.8518519,588.77
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2027,53732,93836,1,57,214928,96,995.037037,615.48
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2028,56170,95713,1,59,224680,108,1040.185185,643.41
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2029,58718,97627,1,60,234872,120,1087.37037,672.60
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2030,61383,99579,1,62,245532,132,1136.722222,703.12
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2031,64167,101571,1,63,256668,144,1188.277778,735.01
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2032,67079,103602,1,65,268316,156,1242.203704,768.37
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2033,70122,105674,1,66,280488,168,1298.555556,803.23
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2034,73303,107788,1,68,293212,180,1357.462963,839.66
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2035,76629,109944,1,70,306516,192,1419.055556,877.76
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2036,80106,112143,1,71,320424,204,1483.444444,917.59
St. Peter's University,stpete,green,purple,Private school average,St. Peter's,2037,83740,114385,1,73,334960,216,1550.740741,959.22
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2019,42498,80088,1,53,169992,n/a,787,486.80
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2020,44498,81690,1,54,177992,12,824.037037,509.71
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2021,46592,83324,1,56,186368,24,862.8148148,533.70
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2022,48785,84990,1,57,195140,36,903.4259259,558.82
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2023,51081,86690,1,59,204324,48,945.9444444,585.12
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2024,53484,88424,1,60,213936,60,990.4444444,612.64
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2025,56001,90192,1,62,224004,72,1037.055556,641.47
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2026,58637,91996,1,64,234548,84,1085.87037,671.67
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2027,61396,93836,1,65,245584,96,1136.962963,703.27
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2028,64286,95713,1,67,257144,108,1190.481481,736.38
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2029,67311,97627,1,69,269244,120,1246.5,771.03
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2030,70479,99579,1,71,281916,132,1305.166667,807.31
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2031,73795,101571,1,73,295180,144,1366.574074,845.30
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2032,77268,103602,1,75,309072,156,1430.888889,885.08
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2033,80904,105674,1,77,323616,168,1498.222222,926.73
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2034,84712,107788,1,79,338848,180,1568.740741,970.35
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2035,88698,109944,1,81,354792,192,1642.555556,1016.01
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2036,92872,112143,1,83,371488,204,1719.851852,1063.82
Seton Hall University,Seton,green,purple,Private school average,Seton Hall,2037,97243,114385,1,85,388972,216,1800.796296,1113.89
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2019,52598,80088,1,66,210392,n/a,974.037037,602.49
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2020,54724,81690,1,67,218896,12,1013.407407,626.85
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2021,56937,83324,1,68,227748,24,1054.388889,652.20
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2022,59239,84990,1,70,236956,36,1097.018519,678.56
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2023,61634,86690,1,71,246536,48,1141.37037,706.00
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2024,64126,88424,1,73,256504,60,1187.518519,734.54
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2025,66718,90192,1,74,266872,72,1235.518519,764.23
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2026,69416,91996,1,75,277664,84,1285.481481,795.14
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2027,72222,93836,1,77,288888,96,1337.444444,827.28
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2028,75142,95713,1,79,300568,108,1391.518519,860.73
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2029,78180,97627,1,80,312720,120,1447.777778,895.53
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2030,81341,99579,1,82,325364,132,1506.314815,931.74
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2031,84629,101571,1,83,338516,144,1567.203704,969.40
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2032,88051,103602,1,85,352204,156,1630.574074,1008.60
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2033,91611,105674,1,87,366444,168,1696.5,1049.38
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2034,95315,107788,1,88,381260,180,1765.092593,1091.80
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2035,99168,109944,1,90,396672,192,1836.444444,1135.94
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2036,103178,112143,1,92,412712,204,1910.703704,1181.87
Stevens Institute of Technology,Stevens,green,purple,Private school average,Stevens Institute,2037,107349,114385,1,94,429396,216,1987.944444,1229.65
Private schools average,test,purple,red,All schools average,"on average, private schools",2019,38995,80088,0,49,155980,n/a,722.1296296,446.68
Private schools average,test,purple,red,All schools average,"on average, private schools",2020,40630,81690,1,50,162520,12,752.4074074,465.40
Private schools average,test,purple,red,All schools average,"on average, private schools",2021,42332,83324,1,51,169328,24,783.9259259,484.90
Private schools average,test,purple,red,All schools average,"on average, private schools",2022,44106,84990,1,52,176424,36,816.7777778,505.22
Private schools average,test,purple,red,All schools average,"on average, private schools",2023,45955,86690,1,53,183820,48,851.0185185,526.40
Private schools average,test,purple,red,All schools average,"on average, private schools",2024,47881,88424,1,54,191524,60,886.6851852,548.46
Private schools average,test,purple,red,All schools average,"on average, private schools",2025,49887,90192,1,55,199548,72,923.8333333,571.44
Private schools average,test,purple,red,All schools average,"on average, private schools",2026,51978,91996,1,56,207912,84,962.5555556,595.39
Private schools average,test,purple,red,All schools average,"on average, private schools",2027,54156,93836,1,58,216624,96,1002.888889,620.34
Private schools average,test,purple,red,All schools average,"on average, private schools",2028,56425,95713,1,59,225700,108,1044.907407,646.33
Private schools average,test,purple,red,All schools average,"on average, private schools",2029,58790,97627,1,60,235160,120,1088.703704,673.42
Private schools average,test,purple,red,All schools average,"on average, private schools",2030,61254,99579,1,62,245016,132,1134.333333,701.65
Private schools average,test,purple,red,All schools average,"on average, private schools",2031,63821,101571,1,63,255284,144,1181.87037,731.05
Private schools average,test,purple,red,All schools average,"on average, private schools",2032,66495,103602,1,64,265980,156,1231.388889,761.68
Private schools average,test,purple,red,All schools average,"on average, private schools",2033,69282,105674,1,66,277128,168,1283,793.60
Private schools average,test,purple,red,All schools average,"on average, private schools",2034,72185,107788,1,67,288740,180,1336.759259,826.86
Private schools average,test,purple,red,All schools average,"on average, private schools",2035,75210,109944,1,68,300840,192,1392.777778,861.51
Private schools average,test,purple,red,All schools average,"on average, private schools",2036,78362,112143,1,70,313448,204,1451.148148,897.61
Private schools average,test,purple,red,All schools average,"on average, private schools",2037,81646,114385,1,71,326584,216,1511.962963,935.23
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2019,29185,80088,0,36,116740,n/a,540.462963,334.31
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2020,30466,81690,0,37,121864,12,564.1851852,348.98
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2021,31804,83324,0,38,127216,24,588.962963,364.30
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2022,33202,84990,0,39,132808,36,614.8518519,380.32
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2023,34661,86690,0,40,138644,48,641.8703704,397.03
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2024,36186,88424,0,41,144744,60,670.1111111,414.50
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2025,37780,90192,0,42,151120,72,699.6296296,432.76
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2026,39444,91996,0,43,157776,84,730.4444444,451.82
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2027,41183,93836,0,44,164732,96,762.6481481,471.74
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2028,42999,95713,0,45,171996,108,796.2777778,492.54
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2029,44897,97627,0,46,179588,120,831.4259259,514.28
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2030,46880,99579,0,47,187520,132,868.1481481,537.00
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2031,48952,101571,0,48,195808,144,906.5185185,560.73
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2032,51116,103602,0,49,204464,156,946.5925926,585.52
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2033,53378,105674,1,51,213512,168,988.4814815,611.43
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2034,55742,107788,1,52,222968,180,1032.259259,638.51
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2035,58211,109944,1,53,232844,192,1077.981481,666.79
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2036,60792,112143,1,54,243168,204,1125.777778,696.35
Total average,test,purple,red,All schools average,"on average, all colleges and universities",2037,63489,114385,1,56,253956,216,1175.722222,727.25
